315576002	10	-10
315576003	10	-10
315576004	6.164	6.182
315576005	6.088	6.182
315576006	5.845	6.088
315576007	5.845	6.379
315576008	6.379	6.529
315576009	6.501	6.674
315576010	6.084	6.674
315576011	6.084	6.693
315576012	6.693	6.693
315576013	6.079	6.585
315576014	6.079	6.585
315576015	10	-10
315576016	10	-10
315576017	10	-10
315576018	6.032	6.032
315576019	6.032	6.032
315576020	10	-10
315576021	10	-10
315576022	10	-10
315576023	5.152	5.152
315576024	5.152	5.152
315576025	10	-10
315576026	10	-10
315576027	10	-10
315576028	4.336	4.336
315576029	4.336	4.336
315576030	10	-10
315576031	10	-10
315576032	10	-10
315576033	3.601	3.601
315576034	3.601	3.601
315576035	10	-10
315576036	10	-10
315576037	3.25	3.25
315576038	3.25	3.25
315576039	10	-10
315576040	10	-10
315576041	10	-10
315576042	10	-10
315576043	4.256	4.256
315576044	4.256	4.256
315576045	10	-10
315576046	10	-10
315576047	10	-10
315576048	5.288	5.288
315576049	5.288	5.288
315576050	10	-10
315576051	10	-10
315576052	10	-10
315576053	4.275	4.275
315576054	4.275	4.275
315576055	10	-10
315576056	10	-10
315576057	10	-10
315576058	3.391	3.391
315576059	3.212	3.391
315576060	3.175	3.231
315576061	3.175	3.386
315576062	3.339	3.896
315576063	3.549	3.966
315576064	3.933	4.313
315576065	4.313	4.313
315576066	10	-10
315576067	10	-10
315576068	4.191	4.242
315576069	4.191	4.242
315576070	10	-10
315576071	10	-10
315576072	10	-10
315576073	5.288	5.288
315576074	5.288	5.288
315576075	10	-10
315576076	10	-10
315576077	10	-10
315576078	5.854	5.854
315576079	5.854	5.854
315576080	10	-10
315576081	10	-10
315576082	10	-10
315576083	6.604	6.604
315576084	6.604	6.604
315576085	10	-10
315576086	10	-10
315576087	10	-10
315576088	6.988	6.988
315576089	6.988	6.988
315576090	10	-10
315576091	10	-10
315576092	10	-10
315576093	7.681	7.681
315576094	7.681	7.681
315576095	10	-10
315576096	10	-10
315576097	10	-10
315576098	7.695	7.695
315576099	7.695	7.695
315576100	10	-10
315576101	10	-10
315576102	10	-10
315576103	7.602	7.602
315576104	7.602	7.602
315576105	10	-10
315576106	10	-10
315576107	10	-10
315576108	7.752	7.752
315576109	7.752	7.752
315576110	10	-10
315576111	10	-10
315576112	10	-10
315576113	6.627	6.627
315576114	6.627	6.627
315576115	10	-10
315576116	10	-10
315576117	10	-10
315576118	6.843	6.843
315576119	6.843	6.843
315576120	10	-10
315576121	10	-10
315576122	10	-10
315576123	5.175	5.175
315576124	5.006	5.175
315576125	5.006	5.086
315576126	5.03	5.236
315576127	4.959	5.362
315576128	4.959	5.362
315576129	5.32	5.358
315576130	5.349	5.358
315576131	5.339	5.358
315576132	5.339	5.339
315576133	5.339	5.376
315576134	5.339	5.376
315576135	10	-10
315576136	10	-10
315576137	10	-10
315576138	5.349	5.349
315576139	5.349	5.349
315576140	10	-10
315576141	5.142	5.335
315576142	5.142	5.404
315576143	5.278	5.573
315576144	5.479	5.573
315576145	5.362	5.442
315576146	5.353	5.442
315576147	5.353	5.367
315576148	5.349	5.367
315576149	5.316	5.367
315576150	5.316	5.344
315576151	10	-10
315576152	10	-10
315576153	5.269	5.316
315576154	5.269	5.7
315576155	5.545	5.7
315576156	5.545	5.756
315576157	5.658	5.91
315576158	5.564	5.91
315576159	5.564	5.62
315576160	10	-10
315576161	10	-10
315576162	10	-10
315576163	6.013	6.013
315576164	6.013	6.013
315576165	5.849	5.849
315576166	5.695	5.849
315576167	5.695	6.168
315576168	5.358	6.168
315576169	5.335	5.84
315576170	5.335	6.411
315576171	5.456	6.411
315576172	5.456	5.456
315576173	5.349	5.437
315576174	5.349	5.437
315576175	10	-10
315576176	5.442	5.456
315576177	5.442	5.859
315576178	5.798	5.877
315576179	5.873	5.952
315576180	5.831	5.952
315576181	5.831	5.99
315576182	5.849	5.99
315576183	6.018	6.224
315576184	6.018	6.224
315576185	6.074	6.707
315576186	6.21	6.707
315576187	6.187	6.3
315576188	6.187	6.421
315576189	6.383	6.421
315576190	6.173	6.458
315576191	6.173	6.458
315576192	6.402	6.726
315576193	6.206	6.726
315576194	6.206	6.332
315576195	6.262	6.337
315576196	6.234	6.337
315576197	6.056	6.234
315576198	6.056	6.566
315576199	6.154	6.566
315576200	5.952	6.323
315576201	5.952	6.533
315576202	6.229	6.533
315576203	6.084	6.257
315576204	6.084	6.098
315576205	10	-10
315576206	10	-10
315576207	10	-10
315576208	6.496	6.496
315576209	6.496	6.496
315576210	10	-10
315576211	10	-10
315576212	10	-10
315576213	6.965	6.965
315576214	6.965	6.965
315576215	10	-10
315576216	10	-10
315576217	10	-10
315576218	7.017	7.017
315576219	7.017	7.017
315576220	10	-10
315576221	10	-10
315576222	10	-10
315576223	6.215	6.215
315576224	6.215	6.215
315576225	10	-10
315576226	10	-10
315576227	10	-10
315576228	4.8	4.8
315576229	4.8	4.8
315576230	10	-10
315576231	10	-10
315576232	10	-10
315576233	4.065	4.065
315576234	4.065	4.065
315576235	10	-10
315576236	10	-10
315576237	10	-10
315576238	3.217	3.217
315576239	3.217	3.217
315576240	10	-10
315576241	10	-10
315576242	10	-10
315576243	4.027	4.027
315576244	4.027	4.027
315576245	10	-10
315576246	10	-10
315576247	10	-10
315576248	10	-10
315576249	10	-10
315576250	10	-10
315576251	10	-10
315576252	10	-10
315576253	5.55	5.55
315576254	5.55	5.55
315576255	10	-10
315576256	10	-10
315576257	10	-10
315576258	6.337	6.337
315576259	6.337	6.337
315576260	10	-10
315576261	10	-10
315576262	10	-10
315576263	7.504	7.504
315576264	7.504	7.504
315576265	10	-10
315576266	10	-10
315576267	10	-10
315576268	7.794	7.794
315576269	7.794	7.794
315576270	10	-10
315576271	10	-10
315576272	10	-10
315576273	7.213	7.213
315576274	7.213	7.213
315576275	10	-10
315576276	10	-10
315576277	10	-10
315576278	6.21	6.21
315576279	6.21	6.21
315576280	10	-10
315576281	10	-10
315576282	10	-10
315576283	5.278	5.278
315576284	5.278	5.278
315576285	10	-10
315576286	5.274	5.274
315576287	5.142	5.283
315576288	5.142	5.283
315576289	4.973	5.255
315576290	4.973	5.47
315576291	5.222	5.47
315576292	5.344	5.353
315576293	5.353	5.423
315576294	5.418	5.423
315576295	10	-10
315576296	10	-10
315576297	10	-10
315576298	5.371	5.592
315576299	5.142	5.592
315576300	5.105	5.142
315576301	5.105	5.166
315576302	5.109	5.335
315576303	5.245	5.404
315576304	5.404	5.99
315576305	5.531	5.99
315576306	5.976	5.976
315576307	10	-10
315576308	5.924	6.027
315576309	5.924	6.027
315576310	10	-10
315576311	10	-10
315576312	10	-10
315576313	10	-10
315576314	10	-10
315576315	6.369	6.369
315576316	6.369	6.369
315576317	10	-10
315576318	7.546	7.546
315576319	7.546	7.546
315576320	10	-10
315576321	10	-10
315576322	10	-10
315576323	7.686	7.686
315576324	7.686	7.686
315576325	10	-10
315576326	10	-10
315576327	10	-10
315576328	7.504	7.504
315576329	7.504	7.504
315576330	10	-10
315576331	10	-10
315576332	10	-10
315576333	7.775	7.775
315576334	7.775	7.775
315576335	10	-10
315576336	10	-10
315576337	10	-10
315576338	6.679	6.679
315576339	6.679	6.679
315576340	10	-10
315576341	10	-10
315576342	10	-10
315576343	6.309	6.309
315576344	6.309	6.309
315576345	10	-10
315576346	10	-10
315576347	10	-10
315576348	6.121	6.121
315576349	6.121	6.121
315576350	10	-10
315576351	10	-10
315576352	10	-10
315576353	4.87	4.87
315576354	4.87	4.87
315576355	10	-10
315576356	10	-10
315576357	10	-10
315576358	10	-10
315576359	10	-10
315576360	10	-10
315576361	10	-10
315576362	10	-10
315576363	3.868	3.868
315576364	3.868	3.868
315576365	10	-10
315576366	10	-10
315576367	5.231	5.231
315576368	5.231	5.465
315576369	5.423	5.756
315576370	5.587	5.873
315576371	5.873	6.224
315576372	5.934	6.224
315576373	6.196	6.318
315576374	6.271	6.318
315576375	10	-10
315576376	10	-10
315576377	10	-10
315576378	6.196	6.196
315576379	6.196	6.196
315576380	10	-10
315576381	10	-10
315576382	10	-10
315576383	6.173	6.173
315576384	6.173	6.173
315576385	10	-10
315576386	10	-10
315576387	10	-10
315576388	10	-10
315576389	10	-10
315576390	10	-10
315576391	10	-10
315576392	10	-10
315576393	6.093	6.093
315576394	6.093	6.093
315576395	10	-10
315576396	6.332	6.346
315576397	5.489	6.379
315576398	5.269	6.379
315576399	5.269	5.981
315576400	4.079	5.981
315576401	4.079	5.147
315576402	10	-10
315576403	4.505	5.123
315576404	4.505	5.123
315576405	10	-10
315576406	10	-10
315576407	10	-10
315576408	4.037	4.037
315576409	4.037	4.037
315576410	10	-10
315576411	10	-10
315576412	10	-10
315576413	5.367	5.367
315576414	5.367	5.367
315576415	10	-10
315576416	10	-10
315576417	10	-10
315576418	5.882	5.882
315576419	5.882	5.882
315576420	10	-10
315576421	10	-10
315576422	10	-10
315576423	5.676	5.676
315576424	5.676	5.676
315576425	10	-10
315576426	10	-10
315576427	10	-10
315576428	7.059	7.059
315576429	7.059	7.059
315576430	10	-10
315576431	10	-10
315576432	10	-10
315576433	7.672	7.672
315576434	7.672	7.672
315576435	10	-10
315576436	10	-10
315576437	10	-10
315576438	7.789	7.789
315576439	7.789	7.789
315576440	10	-10
315576441	10	-10
315576442	10	-10
315576443	6.979	6.979
315576444	6.979	6.979
315576445	10	-10
315576446	10	-10
315576447	10	-10
315576448	6.164	6.164
315576449	6.164	6.164
315576450	10	-10
315576451	10	-10
315576452	10	-10
315576453	5.414	5.414
315576454	5.414	5.414
315576455	10	-10
315576456	10	-10
315576457	10	-10
315576458	3.722	3.722
315576459	3.722	3.722
315576460	10	-10
315576461	10	-10
315576462	10	-10
315576463	3.783	3.783
315576464	3.783	3.783
315576465	10	-10
315576466	10	-10
315576467	3.245	3.245
315576468	3.245	3.245
315576469	10	-10
315576470	10	-10
315576471	10	-10
315576472	10	-10
315576473	5.095	5.095
315576474	5.095	5.095
315576475	10	-10
315576476	10	-10
315576477	10	-10
315576478	3.661	3.661
315576479	3.661	3.661
315576480	10	-10
315576481	10	-10
315576482	10	-10
315576483	3.675	3.675
315576484	3.675	3.675
315576485	10	-10
315576486	10	-10
315576487	10	-10
315576488	5.644	5.644
315576489	5.644	5.644
315576490	10	-10
315576491	10	-10
315576492	10	-10
315576493	5.306	5.306
315576494	5.306	5.306
315576495	10	-10
315576496	10	-10
315576497	10	-10
315576498	5.676	5.676
315576499	5.676	5.676
315576500	10	-10
315576501	10	-10
315576502	10	-10
315576503	5.77	5.77
315576504	5.77	5.77
315576505	10	-10
315576506	10	-10
315576507	10	-10
315576508	5.568	5.568
315576509	5.568	5.568
315576510	10	-10
315576511	10	-10
315576512	10	-10
315576513	5.152	5.152
315576514	5.152	5.152
315576515	10	-10
315576516	10	-10
315576517	10	-10
315576518	5.601	5.601
315576519	5.601	5.601
315576520	10	-10
315576521	10	-10
315576522	10	-10
315576523	5.568	5.568
315576524	5.568	5.568
315576525	10	-10
315576526	10	-10
315576527	10	-10
315576528	5.91	5.91
315576529	5.91	5.91
315576530	10	-10
315576531	10	-10
315576532	10	-10
315576533	6.07	6.07
315576534	6.07	6.07
315576535	10	-10
315576536	10	-10
315576537	10	-10
315576538	5.765	5.765
315576539	5.765	5.765
315576540	10	-10
315576541	10	-10
315576542	10	-10
315576543	6.787	6.787
315576544	6.787	6.787
315576545	10	-10
315576546	10	-10
315576547	10	-10
315576548	7.18	7.18
315576549	7.18	7.18
315576550	10	-10
315576551	10	-10
315576552	10	-10
315576553	5.264	5.264
315576554	5.264	5.264
315576555	10	-10
315576556	10	-10
315576557	10	-10
315576558	4.955	4.955
315576559	4.955	4.955
315576560	10	-10
315576561	10	-10
315576562	10	-10
315576563	4.2	4.2
315576564	4.2	4.2
315576565	10	-10
315576566	10	-10
315576567	10	-10
315576568	3.896	3.896
315576569	3.896	3.896
315576570	10	-10
315576571	10	-10
315576572	10	-10
315576573	5.653	5.653
315576574	5.653	5.653
315576575	5.564	5.592
315576576	5.564	6.112
315576577	5.672	6.112
315576578	5.489	6.449
315576579	5.489	6.449
315576580	5.756	5.756
315576581	10	-10
315576582	10	-10
315576583	5.91	5.91
315576584	5.91	5.91
315576585	5.564	5.564
315576586	5.245	5.564
315576587	5.245	5.461
315576588	5.559	5.7
315576589	5.545	5.7
315576590	5.545	5.695
315576591	5.629	5.695
315576592	10	-10
315576593	5.845	5.845
315576594	5.845	5.845
315576595	10	-10
315576596	5.526	5.526
315576597	5.526	5.943
315576598	5.55	5.943
315576599	5.728	5.817
315576600	5.742	5.817
315576601	5.742	5.808
315576602	5.808	5.808
315576603	5.761	5.775
315576604	5.761	5.775
315576605	10	-10
315576606	10	-10
315576607	10	-10
315576608	5.592	5.592
315576609	5.592	5.592
315576610	10	-10
315576611	10	-10
315576612	10	-10
315576613	5.662	5.662
315576614	5.662	5.662
315576615	5.437	5.437
315576616	5.437	5.531
315576617	5.437	5.531
315576618	5.451	5.498
